
# Efinity Pinout Report
# Version: 2025.1.110.5.9
# Date: 2025-11-12 23:50

# Copyright (C) 2013 - 2025 Efinix Inc. All rights reserved.

# Device: Ti375C529
# Package status: final
# Project: tools_core
# Configuration mode: active (x1)

Pin Number,Pin Name,Signal Name,Direction,Bank,I/O Bank Voltage,I/O Standard,Pull Type,Function
R11,VCC,,Power,,,,,0.95 V VCC Power
R12,GND,,Power,,,,,Ground
R13,VCC,,Power,,,,,0.95 V VCC Power
R14,GND,,Power,,,,,Ground
R15,VCC,,Power,,,,,0.95 V VCC Power
R16,GND,,Power,,,,,Ground
R17,GPIOL_85_PLLIN1,,Input,TL1_TL5,3.3 V,,weak pullup,User IO/PLL_CLKIN
R18,GPIOL_87_PLLIN1,,Input,TL1_TL5,3.3 V,,weak pullup,User IO/PLL_CLKIN
R19,GPIOT_P_19,,,2B,1.8 V,,,User IO
R20,GPIOT_N_19,,,2B,1.8 V,,,User IO
R21,GPIOT_P_12_CLK31_P,,,2B,1.8 V,,,User IO/GCLK
R22,VCCIO2B,,Power,2B,1.8 V,,,VCCIO Power
R23,GPIOT_N_09_CLK26_N,,,2B,1.8 V,,,User IO/GCLK/RCLK
T1,GPIOB_N_04_CDI29,,,4D,1.8 V,,,User IO/PLL_EXTFB
T2,GPIOB_N_10,,,4D,1.8 V,,,User IO
T3,GPIOB_P_10,,,4D,1.8 V,,,User IO
T4,GPIOL_27_CLK25,,Input,BL2_BL3,3.3 V,,weak pullup,User IO/GCLK
T5,GND,,Power,,,,,Ground
T6,VDD_SOC,,Power,SOC,,,,
T7,GND,,Power,,,,,Ground
T8,VCCA_BL2,,Power,BL,,,,0.95 V PLL Power
T9,VDD_PHY_DDR0,,Power,DDR0,,,,
T10,VDD_PHY_DDR0,,Power,DDR0,,,,
T11,GND,,Power,,,,,Ground
T12,VDD_PHY_DDR0,,Power,DDR0,,,,
T13,VDD_PHY_DDR0,,Power,DDR0,,,,
T14,VDD_PHY_DDR0,,Power,DDR0,,,,
T15,GND,,Power,,,,,Ground
T16,VCC,,Power,,,,,0.95 V VCC Power
T17,VCCIO33_TL1_TL5,,Power,TL1_TL5,3.3 V,,,VCCIO Power
T18,GPIOL_83,,Input,TL1_TL5,3.3 V,,weak pullup,User IO
T19,GPIOL_86,,Input,TL1_TL5,3.3 V,,weak pullup,User IO
T20,VCCIO2A,,Power,2A,1.8 V,,,VCCIO Power
T21,GPIOT_N_12_CLK31_N,,,2B,1.8 V,,,User IO/GCLK
T22,GPIOT_P_08_PLLIN0,,,2A,1.8 V,,,User IO/PLL_CLKIN
T23,GPIOT_N_08,,,2A,1.8 V,,,User IO/PLL_CLKIN
U1,GPIOB_N_03_CDI31,,,4D,1.8 V,,,User IO/PLL_CLKIN
U2,GPIOB_P_03_PLLIN0,,,4D,1.8 V,,,User IO/PLL_CLKIN
U3,VCCIO4D,,Power,4D,1.8 V,,,VCCIO Power
U4,GPIOL_25_PLLIN1,ddr_pllin,Input,BL2_BL3,3.3 V,3.3 V LVCMOS,,User IO/PLL_CLKIN
U5,GPIOL_34_PLLIN1,,Input,BL2_BL3,3.3 V,,weak pullup,User IO/PLL_CLKIN
U6,GPIOL_24,,Input,BL2_BL3,3.3 V,,weak pullup,User IO
U7,VDD_SOC,,Power,SOC,,,,
U8,VCCA_BL0_BL1,,Power,BL,,,,0.95 V PLL Power
U9,GND,,Power,,,,,Ground
U10,VDD_PHY_DDR0,,Power,DDR0,,,,
U11,VDD_PHY_DDR0,,Power,DDR0,,,,
U12,VDD_PHY_DDR0,,Power,DDR0,,,,
U13,GND,,Power,,,,,Ground
U14,VDD_PHY_DDR0,,Power,DDR0,,,,
U15,VCCA_TL2,,Power,TL,,,,0.95 V PLL Power
U16,VCCA_TL0_TL1,,Power,TL,,,,0.95 V PLL Power
U17,GPIOL_79_CLK28,,Input,TL1_TL5,3.3 V,,weak pullup,User IO/GCLK
U18,GND,,Power,,,,,Ground
U19,GPIOL_52_PLLIN1,,Input,TL1_TL5,3.3 V,,weak pullup,User IO/PLL_CLKIN
U20,REF_RES_2A,,Input,2A,1.8 V,,,
U21,GPIOT_P_05,,,2A,1.8 V,,,User IO/VREF
U22,GPIOT_N_05,,,2A,1.8 V,,,User IO
U23,GND,,Power,,,,,Ground
V1,GND,,Power,,,,,Ground
V2,GPIOL_26_CLK24,,Input,BL2_BL3,3.3 V,,weak pullup,User IO/GCLK
V3,GPIOL_32_PLLIN1,,Input,BL2_BL3,3.3 V,,weak pullup,User IO/PLL_CLKIN
V4,GPIOL_23,,Input,BL2_BL3,3.3 V,,weak pullup,User IO/MIPI_CLKIN
V5,VCCIO33_BL2_BL3,,Power,BL2_BL3,3.3 V,,,VCCIO Power
V6,VDD_SOC,,Power,SOC,,,,
V7,GND,,Power,,,,,Ground
V8,VDD_PHY_DDR0,,Power,DDR0,,,,
V9,VDD_PHY_DDR0,,Power,DDR0,,,,
V10,VDDQ_CK_PHY_DDR0,,Power,DDR0,,,,
V11,GND,,Power,,,,,Ground
V12,VDDPLL_MCB_TOP_PHY_DDR0,,Power,DDR0,,,,
V13,VDD_PHY_DDR0,,Power,DDR0,,,,
V14,VDD_PHY_DDR0,,Power,DDR0,,,,
V15,GND,,Power,,,,,Ground
V16,VDD_PHY_DDR0,,Power,DDR0,,,,
V17,VDD_PHY_DDR0,,Power,DDR0,,,,
V18,VCCIO33_TL1_TL5,,Power,TL1_TL5,3.3 V,,,VCCIO Power
V19,GPIOL_46,,Input,TL1_TL5,3.3 V,,weak pullup,User IO/MIPI_CLKIN
V20,GPIOL_45,,Input,TL1_TL5,3.3 V,,weak pullup,User IO
V21,GND,,Power,,,,,Ground
V22,GPIOT_P_07_EXTFB,,,2A,1.8 V,,,User IO/PLL_EXTFB
V23,GPIOT_N_07,,,2A,1.8 V,,,User IO/PLL_EXTFB
W1,VDDQ_PHY_DDR0,,Power,DDR0,,,,
W2,VDDQ_PHY_DDR0,,Power,DDR0,,,,
W3,VDDQX_PHY_DDR0,,Power,DDR0,,,,
W4,GND,,Power,,,,,Ground
W5,VDDQ_PHY_DDR0,,Power,DDR0,,,,
W6,VDDQ_PHY_DDR0,,Power,DDR0,,,,
W7,VDDQ_PHY_DDR0,,Power,DDR0,,,,
W8,DDR0_DQ[11],ddr_inst1.DQ[11],,DDR0,,,,
W9,GND,,Power,,,,,Ground
W10,DDR0_CKE[1],ddr_inst1.CKE[1],,DDR0,,,,
W11,DDR0_CAL,ddr_inst1.CAL,,DDR0,,,,
W12,NC,,,,,,,
W13,NC,,,,,,,
W14,GND,,Power,,,,,Ground
W15,DDR0_DQ[20],ddr_inst1.DQ[20],,DDR0,,,,
W16,DDR0_DQ[16],ddr_inst1.DQ[16],,DDR0,,,,
W17,VDDQ_PHY_DDR0,,Power,DDR0,,,,
W18,VDDQ_PHY_DDR0,,Power,DDR0,,,,
W19,GND,,Power,,,,,Ground
W20,VDDQ_PHY_DDR0,,Power,DDR0,,,,
W21,VDDQX_PHY_DDR0,,Power,DDR0,,,,
W22,VDDQ_PHY_DDR0,,Power,DDR0,,,,
W23,VDDQ_PHY_DDR0,,Power,DDR0,,,,
Y1,DDR0_DQ[3],ddr_inst1.DQ[3],,DDR0,,,,
Y2,GND,,Power,,,,,Ground
Y3,DDR0_DQ[6],ddr_inst1.DQ[6],,DDR0,,,,
Y4,DDR0_DQ[4],ddr_inst1.DQ[4],,DDR0,,,,
Y5,DDR0_DQ[5],ddr_inst1.DQ[5],,DDR0,,,,
Y6,DDR0_DQ[12],ddr_inst1.DQ[12],,DDR0,,,,
Y7,GND,,Power,,,,,Ground
Y8,DDR0_DQ[9],ddr_inst1.DQ[9],,DDR0,,,,
Y9,DDR0_CS_N[3],ddr_inst1.CS_N[3],,DDR0,,,,
Y10,DDR0_CS_N[0],ddr_inst1.CS_N[0],,DDR0,,,,
Y11,DDR0_RST_N,ddr_inst1.RST_N,,DDR0,,,,
Y12,GND,,Power,,,,,Ground
Y13,NC,,,,,,,
Y14,DDR0_A[5],ddr_inst1.A[5],,DDR0,,,,
Y15,VDDQ_PHY_DDR0,,Power,DDR0,,,,
Y16,DDR0_DQ[21],ddr_inst1.DQ[21],,DDR0,,,,
Y17,GND,,Power,,,,,Ground
Y18,DDR0_DQ[17],ddr_inst1.DQ[17],,DDR0,,,,
Y19,DDR0_DQ[26],ddr_inst1.DQ[26],,DDR0,,,,
Y20,DDR0_DQ[27],ddr_inst1.DQ[27],,DDR0,,,,
Y21,DDR0_DQ[24],ddr_inst1.DQ[24],,DDR0,,,,
Y22,GND,,Power,,,,,Ground
Y23,DDR0_DQ[29],ddr_inst1.DQ[29],,DDR0,,,,
